VehicleNumber,Line,Brigade,Stop,DiffTime,DiffDist,BusLat,BusLon
1000,213,1,2057_03,0,0.007815856018339437,52.149793,21.188838
1000,213,1,2048_02,40,0.008392297289440376,52.160911,21.210689
1000,213,1,2188_04,3137,0.005496548982428748,52.2142761,21.1338786
1000,213,1,2148_08,1397,0.00861013564935009,52.2234976,21.1016726
1003,219,3,2039_09,5,0.007005919803817913,52.2038575,21.16604
1003,219,3,2402_01,8,0.0067579944511284035,52.1908658,21.1506771
1003,219,3,2194_01,13,0.006373486981875535,52.1897538,21.140735
1003,219,3,2175_02,28,0.009448942394946497,52.1840683,21.184346
1003,219,3,2043_04,66,0.008315254009033782,52.1839041,21.1878668
1003,219,3,2372_03,3391,0.00862867156518653,52.1949891,21.1671843
1003,219,3,2039_12,12,0.002770766800632577,52.2031273,21.1665571
1003,219,3,2039_10,7,0.002878727923722267,52.2053035,21.1653378
1003,219,3,2037_03,4,0.009521780339039587,52.214074,21.1565086
1003,219,3,2265_01,19,0.0010478100549094977,52.2140898,21.1509855
1003,219,3,2188_03,8,0.004484160505511653,52.2143366,21.1319463
1003,219,3,2148_04,31,0.009010602695562203,52.2228828,21.102341
1003,219,3,2147_02,26,0.007333541677436698,52.2243046,21.0968328
1004,213,3,2188_04,42,0.0016757970842114945,52.2142426,21.1338661
1004,213,3,2264_02,35,0.0045012959489960135,52.2141013,21.1438755
1004,213,3,2265_02,12,0.0022774152983006148,52.2139886,21.1526203
1004,213,3,2037_05,7,0.0006224902723590282,52.2130515,21.1580571
1004,213,3,2039_09,27,0.0038011805761299774,52.203892,21.166085
1004,213,3,2371_01,8,0.004520949701129798,52.1982413,21.169215
1004,213,3,2373_01,6,0.0019319670549303126,52.1884618,21.1726035
1004,213,3,2175_02,12,0.006679046951897851,52.1840793,21.1841156
1004,213,3,2043_04,22,0.0050972988729146495,52.1838968,21.1876725
1004,213,3,2043_06,52,0.0017350023990908815,52.1837865,21.1903428
1004,213,3,2177_02,67,0.002314193724169251,52.1834088,21.1951245
1004,213,3,2178_02,67,0.0021345873142839538,52.1830076,21.2016698
1004,213,3,2181_02,122,0.0078771918457107,52.1822621,21.218505
1004,213,3,2375_02,2672,0.008133774706819988,52.1787613,21.2338063
1004,213,3,2375_01,72,0.007809466938265983,52.1785998,21.2339661
1004,213,3,2376_01,77,0.00483098074465789,52.175335,21.2314026
1004,213,3,2377_02,2512,0.0049415178208190936,52.174337,21.2302623
1004,213,3,2377_01,40,0.0059814440555958975,52.1737031,21.2293936
1004,213,3,2051_01,37,0.004171987813095445,52.1715276,21.2266406
1004,213,3,2050_01,42,0.00520628089548233,52.1692435,21.2241946
1004,213,3,2163_01,27,0.001255606230838545,52.1587573,21.2237666
1004,213,3,2160_01,82,0.004270471801211986,52.1614703,21.2145335
1004,213,3,2048_04,1512,0.008703635241400939,52.1613033,21.2131596
1004,213,3,2048_07,37,0.002677382439462211,52.1602073,21.2110633
1004,213,3,2052_01,54,0.003716780037713382,52.1594633,21.2032483
1004,213,3,2055_01,57,0.006756990845464816,52.1551748,21.1830476
1004,213,3,2056_02,672,0.006149649100239107,52.152679,21.1871536
1004,213,3,2057_03,17,0.0033713103843207195,52.149883,21.188843
1004,213,3,2182_01,7,0.002261296029395628,52.1821936,21.2269373
1005,219,1,2386_02,1818,0.0066841162123808225,52.213345,21.112798
1005,219,1,2421_02,13,0.0016327876307919704,52.2174578,21.1090145
1005,219,1,2148_04,3,0.0025792402106307706,52.222781,21.10233
1005,219,1,2400_02,3434,0.007495925602833015,52.2211426,21.106652
1005,219,1,2386_04,3189,0.002881134329023214,52.2135511,21.1115046
1005,219,1,2038_04,2369,0.005678848636954655,52.2102793,21.1608596
1005,219,1,2039_10,16,0.003144244811941974,52.2052548,21.1653086
1005,219,1,2039_12,34,0.008355759567786494,52.2031356,21.1664233
1005,219,1,2371_02,39,0.00494265845840298,52.1989791,21.1687425
1005,219,1,2043_04,154,0.009664270067713985,52.1839415,21.1878758
1005,219,1,2414_01,39,0.0033662009808684322,52.1842658,21.1711233
1005,219,1,2423_01,34,0.001992759644824671,52.1863306,21.1522183
1005,219,1,2194_04,44,0.0019520062172004977,52.1902488,21.1412616
1005,219,1,2402_02,34,0.006927789898240574,52.1904901,21.1491976
1005,219,1,2372_02,24,0.009149603957021447,52.1958701,21.1703621
1005,219,1,2037_03,10,0.004277226145078588,52.2140001,21.1565453
1006,213,4,2148_04,10,0.00971122713324681,52.2227768,21.102454
1006,213,4,2188_04,9,0.006262669275913762,52.214199,21.1339388
1006,213,4,2177_01,3258,0.004351413634756748,52.183368,21.1958918
1006,213,4,2180_01,2988,0.009643871558478708,52.1826573,21.2123523
1006,213,4,2052_01,4,0.0018775027075022275,52.1594886,21.203278
10071,L-8,1,1874_02,134,0.005197237206419409,52.3875021,21.0441285
10072,L31,1,1865_02,12,0.007255344571476302,52.4399068,21.141489
10072,L31,1,1270_01,59,0.001007409736373747,52.4217883,21.035243
10072,L31,1,1513_01,23,0.004890337063387535,52.4202361,21.0346908
10072,L31,1,1271_02,80,0.009893345337084913,52.4253408,21.0331676
10072,L31,1,1272_02,82,0.008241264441036457,52.4297893,21.0305091
10072,L31,1,1276_01,75,0.006397219092974893,52.44111,21.0562885
10072,L31,1,1866_02,37,0.0007528572024456183,52.4440763,21.1254226
10072,L31,1,1738_02,32,0.009873741901968942,52.4349506,21.1486831
10072,L31,1,1722_02,34,0.006873674548645595,52.4254283,21.1633133
10072,L31,1,1455_02,67,0.005121404977740869,52.4171764,21.1813698
10072,L31,1,1999_01,0,0.008302517929484273,52.4193198,21.1841045
10073,L49,1,1479_01,2639,0.009911961697436583,52.3685803,20.941097
10073,L49,1,1317_02,84,0.006534674961956295,52.348701,20.9427445
10073,L49,1,1027_04,6,0.00313230481820324,52.3563611,20.9413516
10073,L49,1,1479_02,15,0.0016361732961855393,52.3681556,20.941605
10073,L49,1,1324_02,5,0.003359477179492901,52.3702686,20.9353793
10073,L49,1,1325_02,2939,0.002156086235310044,52.3761783,20.9380875
10073,L49,1,1299_01,1323,0.004842026619372652,52.3744091,20.9280461
10073,L49,1,1187_02,5,0.009209055999463258,52.3756298,20.9242015
10073,L49,1,1188_02,14,0.00881250123982263,52.3785331,20.9157275
10073,L49,1,1425_01,902,0.00863741149647405,52.3814773,20.9082765
10073,L49,1,1426_02,2928,0.00421436943802838,52.3864568,20.9041906
10073,L49,1,1427_02,11,0.006177578609073232,52.39616,20.8965303
10073,L49,1,1188_01,3576,0.0022372619132844953,52.377183,20.9188141
10073,L49,1,1409_02,2,0.005829096366505623,52.3751558,20.9345091
10073,L49,1,1325_01,3570,0.009315690635791555,52.3755523,20.9379708
10073,L49,1,1366_03,3368,0.008673771350804282,52.3497678,20.9456603
10073,L49,1,1366_02,3589,0.0033318679835167716,52.3507743,20.9457595
10073,L49,1,1409_01,4,0.001981550089319497,52.3744608,20.9336386
10073,L49,1,1306_01,772,0.00970775503088517,52.411376,20.8848243
10074,L24,696,3167_03,4,0.004014160125660367,52.0739791,21.0289338
10074,L24,696,3320_02,2462,0.007285460610421895,52.0750288,21.0228428
10074,L24,696,3320_01,17,0.004269412690217992,52.0749638,21.0218593
10074,L24,696,3169_06,2063,0.00996846830302441,52.0673868,21.0173608
10074,L24,696,3169_03,60,0.005332040212896924,52.06705,21.0176823
10074,L24,696,3748_01,1356,0.009843159136044414,52.066164,21.031102
10074,L24,696,3322_02,4,0.00718630050729412,52.0745735,21.0177853
10075,L-8,02,1311_03,5,0.0010361237416662541,52.3975233,20.9342546
10075,L-8,02,1302_01,1,0.006503901454911813,52.3942893,20.9315518
10075,L-8,02,1423_02,18,0.0060845224107620895,52.4093335,20.9562038
10075,L-8,02,1898_02,17,0.009651038114163641,52.4033145,20.9889015
10075,L-8,02,1897_02,6,0.004405335002599182,52.401182,20.9936599
10075,L-8,02,1416_01,40,0.004085988824332671,52.3820583,21.0201916
10075,L-8,02,1266_02,42,0.0022835715324726995,52.3794606,21.0292313
1008,213,5,2174_04,40,0.002764354819399208,52.1851645,21.1759538
1008,213,5,2373_02,30,0.002649027750307236,52.1892923,21.1718971
1008,213,5,2371_02,38,0.0029511932847553477,52.1989576,21.1687873
1008,213,5,2039_12,40,0.009066287542951846,52.2030301,21.1665846
1008,213,5,2039_10,20,0.004092846902795868,52.2052548,21.1653506
