VehicleNumber,Line,Brigade,Stop,DiffTime,DiffDist,BusLat,BusLon
1005,311,502,2477_02,11,0.0069418576888032185,52.254564,21.0733853
1005,311,502,2123_01,10,0.00931940031577747,52.251881,21.0733053
1005,311,502,2006_08,10,0.005534409486672959,52.245813,21.0743345
1005,311,502,2127_01,70,0.007856239240797973,52.2433728,21.0753373
1005,311,502,2129_02,20,0.003454495538795542,52.2415623,21.08046
1005,311,502,2130_04,3150,0.005115093691367441,52.2390716,21.084331
1005,311,502,2130_03,55,0.00378449945483352,52.238565,21.0850566
1005,311,502,2101_03,65,0.0037440927697818555,52.2355485,21.0862646
1005,311,502,2415_01,35,0.004799984189695683,52.232703,21.0834825
1005,311,502,2416_02,12,0.001609807346226425,52.2304558,21.0842323
1005,311,502,2417_02,55,0.002132682659595106,52.2311158,21.0934578
1005,311,502,2124_01,35,0.008496384325335131,52.2300436,21.094962
1005,311,502,2270_02,0,0.005567913247610774,52.2281443,21.0886523
1005,311,502,2145_04,28,0.008876397242064531,52.2252181,21.0836671
1005,311,502,2252_02,38,0.008632106050107266,52.2229953,21.0854511
1005,311,502,2313_04,107,0.005833401704717204,52.2217535,21.0923715
1005,311,502,2269_02,93,0.006173652563700831,52.2211161,21.0970331
1005,311,502,2269_01,4,0.009765542499430171,52.221185,21.0972028
1005,311,502,2148_05,9,0.00734331265886552,52.2223795,21.1027678
1005,311,502,2148_07,9,0.007240359461215278,52.2223161,21.100448
1005,311,502,2313_03,34,0.007477368931925669,52.222254,21.0898653
1005,311,502,2252_01,49,0.006557786169069804,52.2228131,21.08684
1005,311,502,2145_03,17,0.005260287697171405,52.226383,21.083813
1005,311,502,2270_01,4,0.008117458433532492,52.2280595,21.0884876
1005,311,502,2418_01,14,0.005952811717170186,52.2312363,21.0942898
1005,311,502,2417_01,5,0.0038156199368095285,52.2310973,21.0896671
1005,311,502,2416_01,13,0.005267149471541803,52.2304591,21.0836723
1010,219,3,2371_02,35,0.0002780255908366552,52.1989803,21.1688166
1010,219,3,2039_12,27,0.003679061521092903,52.2031315,21.1665016
1010,219,3,2039_09,21,0.009822702057241742,52.203841,21.1661175
1010,219,3,2400_01,1757,0.004639160751162899,52.2209625,21.106802
